Benchmarks,correct
substring-top-and-tail.c,y
vigen-re-cipher.c,n
forward-difference-2.c,y
forward-difference-1.c,y
count-in-factors.c,n
k-means++-clustering.c,n
create-a-two-dimensional-array-at-runtime-2.c,n
permutations-rank-of-a-permutation.c,y
hamming-numbers-2.c,n
hamming-numbers-1.c,n
closures-value-capture-3.c,n
terminal-control-unicode-output.c,n
vector-products.c,n
named-parameters.c,y
terminal-control-display-an-extended-character.c,y
averages-simple-moving-average-2.c,n
speech-synthesis.c,n
aks-test-for-primes.c,n
compile-time-calculation-1.c,n
sorting-algorithms-shell-sort.c,n
machine-code.c,n
loops-foreach-4.c,y
loops-foreach-3.c,y
loops-foreach-1.c,n
loops-foreach-2.c,y
trabb-pardo-knuth-algorithm.c,y
aliquot-sequence-classifications-2.c,n
random-numbers.c,y
yin-and-yang.c,y
short-circuit-evaluation.c,n
dining-philosophers-2.c,n
exponentiation-operator-1.c,n
exponentiation-operator-2.c,n
sum-multiples-of-3-and-5-1.c,y
sum-multiples-of-3-and-5-2.c,n
count-the-coins-1.c,n
sha-256.c,n
truncate-a-file-1.c,n
truncate-a-file-2.c,n
binary-strings.c,n
string-append.c,y
string-matching-2.c,n
string-matching-1.c,y
integer-overflow.c,y
chat-server.c,n
abc-problem.c,n
seven-sided-dice-from-five-sided-dice.c,n
ordered-words-1.c,n
ordered-words-2.c,n
ordered-words-3.c,n
use-another-language-to-call-a-function-2.c,n
use-another-language-to-call-a-function-1.c,n
use-another-language-to-call-a-function-3.c,n
brownian-tree-1.c,n
power-set.c,y
stack-2.c,n
stack-1.c,n
loops-break.c,n
program-name-2.c,y
program-name-1.c,n
program-name-3.c,n
program-name-4.c,n
arithmetic-complex-2.c,y
modular-exponentiation.c,n
factors-of-an-integer-1.c,n
factors-of-an-integer-2.c,n
find-the-missing-permutation.c,n
primes.c,y
delete-a-file-1.c,y
here-document.c,y
binary-digits.c,y
y-combinator.c,y
modular-inverse-1.c,n
modular-inverse-2.c,n
random-number-generator--device--2.c,n
random-number-generator--device--3.c,n
random-number-generator--device--1.c,n
random-number-generator--device--4.c,n
random-number-generator--device--5.c,n
matrix-multiplication.c,n
pi.c,n
lzw-compression.c,n
terminal-control-preserve-screen.c,n
active-object.c,n
ternary-logic-1.c,y
ternary-logic-2.c,y
ternary-logic-3.c,n
van-der-corput-sequence.c,y
roots-of-a-quadratic-function-3.c,n
roots-of-a-quadratic-function-4.c,n
roots-of-a-quadratic-function-2.c,n
roots-of-a-quadratic-function-1.c,n
playing-cards.c,n
gaussian-elimination.c,y
median-filter.c,n
phrase-reversals.c,n
self-referential-sequence.c,n
element-wise-operations.c,n
sorting-algorithms-permutation-sort.c,n
guess-the-number.c,n
zero-to-the-zero-power.c,y
runge-kutta-method.c,y
deconvolution-2d+-1.c,n
bitmap-write-a-ppm-file-4.c,n
bitmap-write-a-ppm-file-1.c,y
bitmap-write-a-ppm-file-3.c,n
bitmap-write-a-ppm-file-2.c,y
digital-root.c,n
date-manipulation.c,y
program-termination-3.c,n
program-termination-1.c,n
program-termination-2.c,n
draw-a-sphere-1.c,n
draw-a-sphere-2.c,n
99-bottles-of-beer-4.c,y
josephus-problem.c,n
generate-lower-case-ascii-alphabet.c,y
search-a-list.c,y
a+b-1.c,n
make-directory-path.c,n
middle-three-digits-1.c,n
middle-three-digits-2.c,n
abstract-type-1.c,n
